 ,居住縣市,"回家頻率(?週一次，填數字即可)
","回家路程時長(單位:小時)
(例:1、2.5)",回家所需交通費(抓單程，大概即可)
2022/12/8 下午 1:41:43,高雄市,6,2.5,1000
2022/12/8 下午 2:22:43,桃園市,1,1.5,0
2022/12/8 下午 2:23:26,台中市,2,1.5,200
2022/12/8 下午 2:23:35,台北市,2,1.5,120
2022/12/8 下午 2:25:21,嘉義縣,4,1,800
2022/12/8 下午 2:28:42,高雄市,5,2,1050
2022/12/8 下午 2:32:28,高雄市,3,4.5,650
2022/12/8 下午 2:33:06,桃園市,2,3,150
2022/12/8 下午 2:33:34,台中市,2,3,135
2022/12/8 下午 2:35:17,台南市,5,4,410
2022/12/8 下午 2:40:46,新北市,2,1.5,0
2022/12/8 下午 2:54:25,花蓮縣,6,5,600
2022/12/8 下午 2:56:00,台南市,2,2,1000
2022/12/8 下午 2:58:43,新北市,1,1.5,200
2022/12/8 下午 2:59:55,桃園市,3,1.5,150
2022/12/8 下午 3:02:02,台中市,4,1.5,200
2022/12/8 下午 3:03:40,新竹縣,1,0.25,0
2022/12/8 下午 3:05:07,屏東縣,16,4,1000
2022/12/8 下午 3:07:02,新北市,2,2.5,150
2022/12/8 下午 3:07:28,新北市,3,1.3,100
2022/12/8 下午 3:09:33,新北市,0,1.5,100
2022/12/8 下午 3:18:57,台中市,1,2,150
2022/12/8 下午 3:19:54,台中市,3,2,160
2022/12/8 下午 3:26:17,彰化縣,2,2.5,1800
2022/12/8 下午 3:26:31,台北市,4,2,200
2022/12/8 下午 3:27:06,桃園市,1,2,100
2022/12/8 下午 3:28:53,苗栗縣,1,0.3,0
2022/12/8 下午 3:32:35,新竹縣,2,0.2,0
2022/12/8 下午 3:42:24,台中市,2,1,1050
2022/12/8 下午 3:47:58,台北市,2,2,120
2022/12/8 下午 3:49:08,高雄市,5,2,1300
2022/12/8 下午 3:51:39,台中市,4,2,135
2022/12/8 下午 3:52:08,屏東縣,5,2.25,900
2022/12/8 下午 4:08:57,彰化縣,2,1.5,200
2022/12/8 下午 4:18:12,桃園市,1,1.5,30
2022/12/8 下午 4:34:21,嘉義市,1,1.5,790
2022/12/8 下午 4:39:51,高雄市,3,1.5,1000
2022/12/8 下午 4:46:40,彰化縣,2,2,250
2022/12/8 下午 5:06:31,台北市,1,1.5,130
2022/12/8 下午 5:09:38,新北市,1,1.5,300
2022/12/8 下午 6:15:26,新北市,1,1.5,120
2022/12/8 下午 6:42:14,台南市,4,3,400
2022/12/8 下午 8:42:32,高雄市,6,3,795
2022/12/8 下午 9:12:49,台北市,2,1.5,110
2022/12/8 下午 10:23:26,台北市,2,1.5,120
2022/12/8 下午 10:46:31,台北市,2,1.5,115
2022/12/8 下午 10:53:17,台北市,1,1,0
2022/12/8 下午 10:56:34,台南市,4,3.5,1060
2022/12/9 上午 12:07:55,彰化縣,2,2.5,270
2022/12/9 上午 8:58:22,台北市,1,1.5,110
2022/12/9 下午 12:12:10,台北市,2,2,150
2022/12/9 下午 4:11:25,桃園市,1,1,0
2022/12/9 下午 10:11:58,台中市,2,1.5,170
2022/12/10 下午 12:08:25,新竹縣,1,1,0
2022/12/10 下午 12:37:53,高雄市,3,6,1100
2022/12/10 下午 10:21:51,高雄市,4,2,1300
2022/12/11 下午 9:40:20,台南市,2,3,400
2022/12/12 上午 2:14:48,台中市,4,1.3,700
2022/12/12 下午 12:22:15,台南市,3,3,800
2022/12/13 上午 1:44:29,屏東縣,4,3,1500
